Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Total Revenue
12346,326,12,77556.46,2,3,4,234,At Risk,77556.46
12347,3,8,5633.32,4,3,4,434,Champions,5633.32
12348,76,5,2019.4,3,2,3,323,Loyal,2019.4
12349,19,4,4428.69,4,2,4,424,Champions,4428.69
12350,311,1,334.4,2,1,1,211,Lost,334.4
12351,376,1,300.93,2,1,1,211,Lost,300.93
12352,37,10,2849.84,3,3,4,334,Loyal,2849.84
12353,205,2,406.76,2,1,2,212,Needs Attention,406.76
12354,233,1,1079.4,2,1,3,213,Needs Attention,1079.4
12355,215,2,947.61,2,1,3,213,Needs Attention,947.61
12356,23,6,6373.68,4,3,4,434,Champions,6373.68
12357,34,3,18287.66,3,2,4,324,Loyal,18287.66
12358,2,5,3887.07,4,2,4,424,Champions,3887.07
12359,58,10,8935.94,3,3,4,334,Loyal,8935.94
12360,53,8,4252.89,3,3,4,334,Loyal,4252.89
12361,288,4,511.25,2,2,2,222,At Risk,511.25
12362,4,11,5356.23,4,3,4,434,Champions,5356.23
12363,110,2,552.0,2,1,2,212,Needs Attention,552.0
12364,8,4,1313.1,4,2,3,423,Champions,1313.1
12365,292,2,641.38,2,1,2,212,Needs Attention,641.38
12366,634,1,500.24,1,1,2,112,Needs Attention,500.24
12367,5,1,168.9,4,1,1,411,Needs Attention,168.9
12368,629,1,917.7,1,1,3,113,Needs Attention,917.7
12369,414,3,1791.15,1,2,3,123,At Risk,1791.15
12370,52,7,4320.31,3,3,4,334,Loyal,4320.31
12371,45,5,4067.38,3,2,4,324,Loyal,4067.38
12372,72,3,1298.04,3,2,3,323,Loyal,1298.04
12373,312,3,1127.65,2,2,3,223,At Risk,1127.65
12374,26,4,2989.22,4,2,4,424,Champions,2989.22
12375,11,2,457.5,4,1,2,412,Needs Attention,457.5
12376,390,2,503.15,1,1,2,112,Needs Attention,503.15
12377,316,4,3426.32,2,2,4,224,At Risk,3426.32
12378,130,2,5416.32,2,1,4,214,Needs Attention,5416.32
12379,82,4,1620.22,3,2,3,323,Loyal,1620.22
12380,22,11,9676.3,4,3,4,434,Champions,9676.3
12381,5,5,1845.31,4,2,3,423,Champions,1845.31
12383,185,5,1850.56,2,2,3,223,At Risk,1850.56
12384,29,2,585.27,3,1,2,312,Needs Attention,585.27
12385,380,1,1938.4,2,1,3,213,Needs Attention,1938.4
12386,338,2,660.8,2,1,2,212,Needs Attention,660.8
12387,416,1,143.94,1,1,1,111,Lost,143.94
12388,16,8,3901.11,4,3,4,434,Champions,3901.11
12389,403,3,1433.33,1,2,3,123,At Risk,1433.33
12390,80,1,549.84,3,1,2,312,Needs Attention,549.84
12391,22,6,2773.42,4,3,4,434,Champions,2773.42
12392,592,1,234.75,1,1,1,111,Lost,234.75
12393,73,6,2399.45,3,3,4,334,Loyal,2399.45
12394,64,2,1272.48,3,1,3,313,Loyal,1272.48
12395,20,15,5067.27,4,3,4,434,Champions,5067.27
12396,675,1,931.43,1,1,3,113,Needs Attention,931.43
12397,36,2,2409.9,3,1,4,314,Loyal,2409.9
12398,46,1,1635.66,3,1,3,313,Loyal,1635.66
12399,120,7,1962.3,2,3,3,233,At Risk,1962.3
12400,415,1,205.25,1,1,1,111,Lost,205.25
12401,304,1,84.3,2,1,1,211,Lost,84.3
12402,324,6,1256.9,2,3,3,233,At Risk,1256.9
12403,50,2,1019.36,3,1,3,313,Loyal,1019.36
12404,683,1,63.24,1,1,1,111,Lost,63.24
12405,149,1,1710.39,2,1,3,213,Needs Attention,1710.39
12406,23,5,6390.36,4,2,4,424,Champions,6390.36
12407,50,5,1708.12,3,2,3,323,Loyal,1708.12
12408,33,8,4340.77,3,3,4,334,Loyal,4340.77
12409,79,7,23419.29,3,3,4,334,Loyal,23419.29
12410,309,3,1013.71,2,2,3,223,At Risk,1013.71
12411,410,1,346.9,1,1,1,111,Lost,346.9
12412,75,6,2596.93,3,3,4,334,Loyal,2596.93
12413,67,4,999.45,3,2,3,323,Loyal,999.45
12414,218,6,952.41,2,3,3,233,At Risk,952.41
12415,25,28,144458.37,4,3,4,434,Champions,144458.37
12416,657,1,202.56,1,1,1,111,Lost,202.56
12417,4,20,6816.91,4,3,4,434,Champions,6816.91
12418,113,4,2021.2,2,2,3,223,At Risk,2021.2
12419,386,2,503.01,1,1,2,112,Needs Attention,503.01
12420,64,1,600.39,3,1,2,312,Needs Attention,600.39
12421,16,6,1098.6,4,3,3,433,Champions,1098.6
12422,96,17,5231.8,3,3,4,334,Loyal,5231.8
12423,1,10,2622.39,4,3,4,434,Champions,2622.39
12424,163,4,3340.03,2,2,4,224,At Risk,3340.03
12425,79,2,1741.41,3,1,3,313,Loyal,1741.41
12426,195,2,1345.21,2,1,3,213,Needs Attention,1345.21
12427,22,3,1129.3,4,2,3,423,Champions,1129.3
12428,26,9,7956.46,4,3,4,434,Champions,7956.46
12429,10,8,7485.91,4,3,4,434,Champions,7485.91
12430,44,1,256.4,3,1,1,311,Needs Attention,256.4
12431,36,27,10857.97,3,3,4,334,Loyal,10857.97
12432,43,5,5059.32,3,2,4,324,Loyal,5059.32
12433,1,10,20581.26,4,3,4,434,Champions,20581.26
12434,85,3,1103.43,3,2,3,323,Loyal,1103.43
12435,80,6,13925.93,3,3,4,334,Loyal,13925.93
12436,100,1,509.01,2,1,2,212,Needs Attention,509.01
12437,2,39,12683.4,4,3,4,434,Champions,12683.4
12438,15,2,2906.85,4,1,4,414,Loyal,2906.85
12439,683,2,1158.18,1,1,3,113,Needs Attention,1158.18
12440,463,2,859.2,1,1,2,112,Needs Attention,859.2
12441,367,1,347.1,2,1,1,211,Lost,347.1
12442,4,1,172.06,4,1,1,411,Needs Attention,172.06
12443,733,1,485.31,1,1,2,112,Needs Attention,485.31
12444,22,5,5005.46,4,2,4,424,Champions,5005.46
12445,23,2,434.98,4,1,2,412,Needs Attention,434.98
12446,58,1,1002.31,3,1,3,313,Loyal,1002.31
12447,244,1,476.49,2,1,2,212,Needs Attention,476.49
12448,45,1,449.45,3,1,2,312,Needs Attention,449.45
12449,23,6,4835.89,4,3,4,434,Champions,4835.89
12450,157,5,688.2,2,2,2,222,At Risk,688.2
12451,11,8,12669.88,4,3,4,434,Champions,12669.88
12452,17,2,430.57,4,1,2,412,Needs Attention,430.57
12453,135,1,707.09,2,1,2,212,Needs Attention,707.09
12454,57,5,16679.78,3,2,4,324,Loyal,16679.78
12455,74,10,5879.95,3,3,4,334,Loyal,5879.95
12456,45,3,3181.04,3,2,4,324,Loyal,3181.04
12457,67,8,2995.91,3,3,4,334,Loyal,2995.91
12458,72,4,1777.49,3,2,3,323,Loyal,1777.49
12459,606,1,454.36,1,1,2,112,Needs Attention,454.36
12460,457,1,326.65,1,1,1,111,Lost,326.65
12461,95,2,826.88,3,1,2,312,Needs Attention,826.88
12462,19,2,1189.59,4,1,3,413,Loyal,1189.59
12463,54,4,1344.78,3,2,3,323,Loyal,1344.78
12464,11,8,1212.05,4,3,3,433,Champions,1212.05
12465,18,2,742.19,4,1,2,412,Needs Attention,742.19
12466,683,1,56.73,1,1,1,111,Lost,56.73
12467,424,1,132.8,1,1,1,111,Lost,132.8
12468,188,5,3670.74,2,2,4,224,At Risk,3670.74
12469,523,2,3070.54,1,1,4,114,Needs Attention,3070.54
12470,690,1,211.95,1,1,1,111,Lost,211.95
12471,3,79,39963.79,4,3,4,434,Champions,39963.79
12472,33,19,17880.59,3,3,4,334,Loyal,17880.59
12473,30,5,3938.55,3,2,4,324,Loyal,3938.55
12474,18,31,12424.45,4,3,4,434,Champions,12424.45
12475,54,2,1149.64,3,1,3,313,Loyal,1149.64
12476,16,23,14115.41,4,3,4,434,Champions,14115.41
12477,23,9,20276.37,4,3,4,434,Champions,20276.37
12478,4,1,680.99,4,1,2,412,Needs Attention,680.99
12479,12,1,527.2,4,1,2,412,Needs Attention,527.2
12480,29,7,5464.85,3,3,4,334,Loyal,5464.85
12481,23,15,12361.39,4,3,4,434,Champions,12361.39
12482,577,29,23691.4,1,3,4,134,At Risk,23691.4
12483,18,19,5120.58,4,3,4,434,Champions,5120.58
12484,33,12,6370.15,3,3,4,334,Loyal,6370.15
12485,530,1,708.1,1,1,2,112,Needs Attention,708.1
12486,432,1,1037.28,1,1,3,113,Needs Attention,1037.28
12487,731,1,285.3,1,1,1,111,Lost,285.3
12488,10,3,1298.66,4,2,3,423,Champions,1298.66
12489,337,1,334.93,2,1,1,211,Lost,334.93
12490,6,21,9823.64,4,3,4,434,Champions,9823.64
12491,39,1,460.4,3,1,2,312,Needs Attention,460.4
12492,64,3,715.21,3,2,2,322,Needs Attention,715.21
12493,166,2,433.74,2,1,2,212,Needs Attention,433.74
12494,16,9,1872.87,4,3,3,433,Champions,1872.87
12495,641,1,357.4,1,1,2,112,Needs Attention,357.4
12496,621,2,54.09,1,1,1,111,Lost,54.09
12497,82,3,6248.5,3,2,4,324,Loyal,6248.5
12498,22,3,403.7,4,2,2,422,Needs Attention,403.7
12499,561,1,393.72,1,1,2,112,Needs Attention,393.72
12500,24,19,5955.21,4,3,4,434,Champions,5955.21
12501,337,1,2169.39,2,1,3,213,Needs Attention,2169.39
12502,96,5,3723.87,3,2,4,324,Loyal,3723.87
12503,585,1,1126.0,1,1,3,113,Needs Attention,1126.0
12504,19,4,779.05,4,2,2,422,Needs Attention,779.05
12505,409,1,955.2,1,1,3,113,Needs Attention,955.2
12506,233,1,73.5,2,1,1,211,Lost,73.5
12507,135,4,1844.06,2,2,3,223,At Risk,1844.06
12508,27,2,398.27,3,1,2,312,Needs Attention,398.27
12509,285,1,176.5,2,1,1,211,Lost,176.5
12510,143,9,5178.02,2,3,4,234,At Risk,5178.02
12511,429,1,3084.02,1,1,4,114,Needs Attention,3084.02
12512,67,2,138.03,3,1,1,311,Needs Attention,138.03
12513,113,1,612.29,2,1,2,212,Needs Attention,612.29
12514,268,2,1597.76,2,1,3,213,Needs Attention,1597.76
12515,354,1,383.7,2,1,2,212,Needs Attention,383.7
12516,78,4,2648.62,3,2,4,324,Loyal,2648.62
12517,29,5,2502.84,3,2,4,324,Loyal,2502.84
12518,1,5,2056.89,4,2,3,423,Champions,2056.89
12519,64,2,726.54,3,1,2,312,Needs Attention,726.54
12520,80,5,2634.26,3,2,4,324,Loyal,2634.26
12521,143,1,599.68,2,1,2,212,Needs Attention,599.68
12522,40,2,192.72,3,1,1,311,Needs Attention,192.72
12523,20,23,4372.15,4,3,4,434,Champions,4372.15
12524,10,17,11126.11,4,3,4,434,Champions,11126.11
12525,499,3,973.73,1,2,3,123,At Risk,973.73
12526,1,3,1316.66,4,2,3,423,Champions,1316.66
12527,82,5,735.51,3,2,2,322,Needs Attention,735.51
12528,10,6,1933.48,4,3,3,433,Champions,1933.48
12529,529,1,316.48,1,1,1,111,Lost,316.48
12530,60,9,3759.26,3,3,4,334,Loyal,3759.26
12531,15,2,1933.2,4,1,3,413,Loyal,1933.2
12532,31,1,349.83,3,1,2,312,Needs Attention,349.83
12533,628,2,1367.89,1,1,3,113,Needs Attention,1367.89
12534,131,1,1089.18,2,1,3,213,Needs Attention,1089.18
12535,92,2,716.35,3,1,2,312,Needs Attention,716.35
12536,44,3,12601.83,3,2,4,324,Loyal,12601.83
12537,409,1,732.94,1,1,2,112,Needs Attention,732.94
12538,30,2,640.45,3,1,2,312,Needs Attention,640.45
12539,23,7,11214.75,4,3,4,434,Champions,11214.75
12540,20,33,22254.49,4,3,4,434,Champions,22254.49
12541,30,3,981.18,3,2,3,323,Loyal,981.18
12542,485,2,481.88,1,1,2,112,Needs Attention,481.88
12543,449,1,980.25,1,1,3,113,Needs Attention,980.25
12544,37,1,372.7,3,1,2,312,Needs Attention,372.7
12545,76,2,1000.39,3,1,3,313,Loyal,1000.39
12546,47,2,1161.5,3,1,3,313,Loyal,1161.5
12547,198,3,383.58,2,2,2,222,At Risk,383.58
12548,167,1,95.2,2,1,1,211,Lost,95.2
12549,576,6,1575.68,1,3,3,133,At Risk,1575.68
12550,80,1,964.83,3,1,3,313,Loyal,964.83
12551,358,1,168.0,2,1,1,211,Lost,168.0
12552,39,2,437.82,3,1,2,312,Needs Attention,437.82
12553,9,12,4608.75,4,3,4,434,Champions,4608.75
12554,449,1,468.5,1,1,2,112,Needs Attention,468.5
12555,683,1,129.23,1,1,1,111,Lost,129.23
12556,51,2,603.71,3,1,2,312,Needs Attention,603.71
12557,17,8,18716.14,4,3,4,434,Champions,18716.14
12558,8,1,269.96,4,1,1,411,Needs Attention,269.96
